Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793352,192.168.86.90,56498,54.149.94.178,443,6,52,770,1,1
1599793352,192.168.86.90,56523,52.114.132.91,443,6,239,528,4,3
1599793352,192.168.86.84,5353,224.0.0.251,5353,17,200,0,1,0
1599793353,192.168.86.91,5353,224.0.0.251,5353,17,384,0,1,0
1599793353,192.168.86.255,138,192.168.86.90,138,17,0,202,0,1
1599793353,192.168.86.90,138,192.168.86.91,138,17,0,211,0,1
1599793353,192.168.86.90,137,192.168.86.91,137,17,78,257,1,1
1599793353,192.168.86.90,56498,54.149.94.178,443,6,52,738,1,1
1599793354,192.168.86.90,56498,54.149.94.178,443,6,212,767,3,3
1599793355,192.168.86.90,56510,192.168.86.91,80,6,52,52,1,1
1599793355,192.168.86.90,56506,45.57.100.137,443,6,6650,654976,72,439
1599793355,192.168.86.90,56504,45.57.100.137,443,6,5860,266408,38,180
1599793355,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599793355,192.168.86.90,56505,45.57.100.137,443,6,5424,638896,67,428
1599793355,192.168.86.90,56498,54.149.94.178,443,6,52,741,1,1
1599793356,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793357,192.168.86.90,56500,54.149.94.178,443,6,316,1396,5,5
1599793357,192.168.86.90,56498,54.149.94.178,443,6,104,494,2,2
1599793358,192.168.86.90,56457,8.37.103.246,443,6,104,1229,2,2
1599793358,192.168.86.90,56498,54.149.94.178,443,6,156,1649,3,3
1599793358,192.168.86.90,56494,162.222.42.179,4287,6,29938,936,20,18
1599793358,192.168.86.90,56500,54.149.94.178,443,6,156,741,3,3
1599793358,192.168.86.90,56447,142.250.101.188,443,6,40,52,1,1
1599793358,192.168.86.90,56450,216.58.194.206,443,6,40,52,1,1
1599793359,192.168.86.90,56494,162.222.42.179,4287,6,31642,1040,22,20
1599793360,192.168.86.90,56498,54.149.94.178,443,6,220,2732,4,4
1599793360,192.168.86.90,56494,162.222.42.179,4287,6,31594,988,22,19
